index,transition_id,company_symbol,buyer_broker,seller_broker,quantity,rate,amount,date
0,2021011903029492,ALBSL,21,47,10,1324.0,13240.0,2021-01-19
1,2021011903029440,BBC,52,39,55,3265.0,179575.0,2021-01-19
2,2021011903029439,BBC,52,45,26,3265.0,84890.0,2021-01-19
3,2021011903029278,BBC,42,45,30,3265.0,97950.0,2021-01-19
4,2021011903029477,BFC,59,34,300,161.0,48300.0,2021-01-19
5,2021011903029463,BFC,59,29,200,161.0,32200.0,2021-01-19
6,2021011903029462,BFC,43,29,300,161.0,48300.0,2021-01-19
7,2021011903029281,BFC,59,52,54,164.0,8856.0,2021-01-19
8,2021011903029250,BFC,37,47,500,164.0,82000.0,2021-01-19
9,2021011903029249,BFC,37,52,50,164.0,8200.0,2021-01-19
10,2021011903029248,BFC,37,36,500,161.0,80500.0,2021-01-19
11,2021011903029247,BFC,37,46,200,160.0,32000.0,2021-01-19
12,2021011903029246,BFC,37,22,100,158.0,15800.0,2021-01-19
13,2021011903029304,CBBL,22,48,100,1370.0,137000.0,2021-01-19
14,2021011903029434,CIT,35,43,10,3460.0,34600.0,2021-01-19
15,2021011903029253,CIT,34,58,10,3454.0,34540.0,2021-01-19
16,2021011903029252,CIT,21,58,50,3454.0,172700.0,2021-01-19
17,2021011903029490,CLBSL,57,49,40,1035.0,41400.0,2021-01-19
18,2021011903029489,CLBSL,34,49,15,1038.0,15570.0,2021-01-19
19,2021011903029488,CLBSL,8,49,200,1040.0,208000.0,2021-01-19
20,2021011903029487,CLBSL,42,49,100,1040.0,104000.0,2021-01-19
21,2021011903029486,CLBSL,16,49,145,1040.0,150800.0,2021-01-19
22,2021011903029240,CLBSL,16,57,355,1040.0,369200.0,2021-01-19
23,2021011903029225,CLBSL,58,57,65,1040.0,67600.0,2021-01-19
24,2021011903029167,CLBSL,57,57,80,1040.0,83200.0,2021-01-19
25,2021011903029084,CLBSL,34,58,35,1038.0,36330.0,2021-01-19
26,2021011903029158,CMF2,43,42,100,10.33,1033.0,2021-01-19
27,2021011903029336,DDBL,46,35,140,1665.0,233100.0,2021-01-19
28,2021011903029237,DDBL,58,35,50,1665.0,83250.0,2021-01-19
29,2021011903029228,DDBL,34,35,10,1665.0,16650.0,2021-01-19
30,2021011903029189,DDBL,57,35,52,1665.0,86580.0,2021-01-19
31,2021011903029176,DDBL,22,35,10,1665.0,16650.0,2021-01-19
32,2021011903029090,DDBL,37,35,100,1665.0,166500.0,2021-01-19
33,2021011903029089,DDBL,42,35,200,1665.0,333000.0,2021-01-19
34,2021011903029088,DDBL,52,29,50,1665.0,83250.0,2021-01-19
35,2021011903029087,DDBL,58,29,50,1665.0,83250.0,2021-01-19
36,2021011903029437,EDBL,6,56,300,397.0,119100.0,2021-01-19
37,2021011903029414,FMDBL,34,41,10,682.0,6820.0,2021-01-19
38,2021011903029285,FMDBL,34,41,65,682.0,44330.0,2021-01-19
39,2021011903029192,FMDBL,17,57,50,684.0,34200.0,2021-01-19
40,2021011903029236,FOWAD,7,28,10,2520.0,25200.0,2021-01-19
41,2021011903029498,GBBL,58,21,10,360.0,3600.0,2021-01-19
42,2021011903029409,GBBL,4,7,"4,732",355.0,1679860.0,2021-01-19
43,2021011903029408,GBBL,7,7,200,355.0,71000.0,2021-01-19
44,2021011903029407,GBBL,5,7,500,355.0,177500.0,2021-01-19
45,2021011903029406,GBBL,40,7,100,355.0,35500.0,2021-01-19
46,2021011903029405,GBBL,33,7,30,355.0,10650.0,2021-01-19
47,2021011903029386,GBBL,49,7,500,359.0,179500.0,2021-01-19
48,2021011903029373,GBBL,49,53,500,359.0,179500.0,2021-01-19
49,2021011903029326,GBBL,57,32,500,358.0,179000.0,2021-01-19
50,2021011903029097,GBBL,58,32,100,358.0,35800.0,2021-01-19
51,2021011903029392,GBBL,51,7,50,356.0,17800.0,2021-01-19
52,2021011903029391,GBBL,16,7,"1,828",356.0,650768.0,2021-01-19
53,2021011903029390,GBBL,57,7,300,357.0,107100.0,2021-01-19
54,2021011903029389,GBBL,58,7,100,357.0,35700.0,2021-01-19
55,2021011903029388,GBBL,26,7,500,357.0,178500.0,2021-01-19
56,2021011903029387,GBBL,49,7,100,357.0,35700.0,2021-01-19
57,2021011903029398,GBBL,1,7,100,355.0,35500.0,2021-01-19
58,2021011903029397,GBBL,41,7,70,355.0,24850.0,2021-01-19
59,2021011903029396,GBBL,14,7,400,356.0,142400.0,2021-01-19
60,2021011903029395,GBBL,38,7,300,356.0,106800.0,2021-01-19
